product_name,product_price,product_url,product_size,product_id,category,page_number
Four Seasons Frozen Black Forest Fruits 500g,1.89,https://groceries.aldi.co.uk/en-GB/p-four-seasons-frozen-black-forest-fruits-500g/4088600224299,500g,4088600224299,frozen,13
Carlos Stonebaked Sourdough Mozzarella Pizza 355g,1.99,https://groceries.aldi.co.uk/en-GB/p-carlos-stonebaked-sourdough-mozzarella-pizza-355g/4088600207032,355g,4088600207032,frozen,13
Four Seasons Pineapple Chunks 500g,1.99,https://groceries.aldi.co.uk/en-GB/p-four-seasons-pineapple-chunks-500g/4088600209647,500g,4088600209647,frozen,13
Four Seasons Breakfast Topper 350g,1.75,https://groceries.aldi.co.uk/en-GB/p-four-seasons-breakfast-topper-350g/4088600214757,350g,4088600214757,frozen,13
Four Seasons Frozen Four Berry Medley 1kg,2.99,https://groceries.aldi.co.uk/en-GB/p-four-seasons-frozen-four-berry-medley-1kg/4088600215976,1kg,4088600215976,frozen,13
The Fishmonger Atlantic Large Prawns 275g,2.79,https://groceries.aldi.co.uk/en-GB/p-the-fishmonger-atlantic-large-prawns-275g/4088600227931,275g,4088600227931,frozen,13
Dessert Menu Mixed Berry Cheesecake 500g,1.85,https://groceries.aldi.co.uk/en-GB/p-dessert-menu-mixed-berry-cheesecake-500g/4088600231631,500g,4088600231631,frozen,13
Slimwell Sweet Potato Curry 550g,2.69,https://groceries.aldi.co.uk/en-GB/p-slimwell-sweet-potato-curry-550g/4088600233130,550g,4088600233130,frozen,13
Roosters Gastro Breaded Chicken Strips 600g,3.39,https://groceries.aldi.co.uk/en-GB/p-roosters-gastro-breaded-chicken-strips-600g/4088600241371,600g,4088600241371,frozen,13
Roosters Gastro Flamin Hot Chicken Strips 600g,3.39,https://groceries.aldi.co.uk/en-GB/p-roosters-gastro-flamin-hot-chicken-strips-600g/4088600241388,600g,4088600241388,frozen,13
Roosters Gastro Southern Fried Chicken Strips 600g,3.39,https://groceries.aldi.co.uk/en-GB/p-roosters-gastro-southern-fried-chicken-strips-600g/4088600241395,600g,4088600241395,frozen,13
Plant Menu No Beef Pasties 360g/2 Pack,1.19,https://groceries.aldi.co.uk/en-GB/p-plant-menu-no-beef-pasties-360g2-pack/4088600241401,360g,4088600241401,frozen,13
Four Seasons Triple Cooked Beef Dripping Chips 750g,2.39,https://groceries.aldi.co.uk/en-GB/p-four-seasons-triple-cooked-beef-dripping-chips-750g/4088600241418,750g,4088600241418,frozen,13
Specially Selected Golden & Crispy Halloumi Burgers 170g/2 Pack,2.29,https://groceries.aldi.co.uk/en-GB/p-specially-selected-golden-crispy-halloumi-burgers-170g2-pack/4088600241425,170g,4088600241425,frozen,13
Specially Selected Beef Dripping Large Yorkshire Puddings 6 Pack,1.99,https://groceries.aldi.co.uk/en-GB/p-specially-selected-beef-dripping-large-yorkshire-puddings-6-pack/4088600218236,6 Pack,4088600218236,frozen,13
Specially Selected Chunky Oven Chips 1.5kg,2.99,https://groceries.aldi.co.uk/en-GB/p-specially-selected-chunky-oven-chips-15kg/4088600227993,1,4088600227993,frozen,13
Frasers Macaroni Cheese 325g,1.09,https://groceries.aldi.co.uk/en-GB/p-frasers-macaroni-cheese-325g/4088600234267,325g,4088600234267,frozen,13
Frasers Haggis Neeps & Tatties 325g,1.09,https://groceries.aldi.co.uk/en-GB/p-frasers-haggis-neeps-tatties-325g/4088600234533,325g,4088600234533,frozen,13
Ashfields British Skinny Beef Quarter Pounders 454g /4 Pack,3.39,https://groceries.aldi.co.uk/en-GB/p-ashfields-british-skinny-beef-quarter-pounders-454g-4-pack/4061464958685,454g ,4061464958685,fresh-food,14
Ashfields 7 Day Matured British Extra Lean Diced Steak 350g,3.99,https://groceries.aldi.co.uk/en-GB/p-ashfields-7-day-matured-british-extra-lean-diced-steak-350g/4061464973947,350g,4061464973947,fresh-food,14
Oakhurst Beef Bourguignon 530g,4.79,https://groceries.aldi.co.uk/en-GB/p-oakhurst-beef-bourguignon-530g/4061459785715,530g,4061459785715,fresh-food,14
Oakhurst Smoky BBQ Beef Brisket 400g,4.29,https://groceries.aldi.co.uk/en-GB/p-oakhurst-smoky-bbq-beef-brisket-400g/4061459786286,400g,4061459786286,fresh-food,14
Oakhurst Lamb Shanks With Mint Gravy 700g,6.69,https://groceries.aldi.co.uk/en-GB/p-oakhurst-lamb-shanks-with-mint-gravy-700g/4061459788341,700g,4061459788341,fresh-food,14
Oakhurst Gammon Shanks With Maple Syrup Sauce 550g,4.29,https://groceries.aldi.co.uk/en-GB/p-oakhurst-gammon-shanks-with-maple-syrupsauce-550g/4061459788952,550g,4061459788952,fresh-food,14
Oakhurst Slow Cooked Chicken Shawarma 480g,3.69,https://groceries.aldi.co.uk/en-GB/p-oakhurst-slow-cooked-chicken-shawarma-480g/4061459786354,480g,4061459786354,fresh-food,14
Everyday Essentials Smoked Gammon Joint Typically 1kg,4.09,https://groceries.aldi.co.uk/en-GB/p-everyday-essentials-smoked-gammon-joint-typically-1kg/2818220000000,Typically 1kg,2818220000000,fresh-food,14
Everyday Essentials Smoked Back Bacon Rashers 1kg,4.29,https://groceries.aldi.co.uk/en-GB/p-everyday-essentials-smoked-back-bacon-rashers-1kg/4061459898071,1kg,4061459898071,fresh-food,14
